"","X","SUBJECT_ID","ADULT_CHILD","AGE_in_years","age_c","GENDER","GENDER_1female","fieldid","FIELDSITE","berlin","laplata","phoenix","pune","shuar","wiichi","tanna","T1_ad_choice_1yes","T5_ad_choice_1yes"
"73",291,"Suheyla-2017-06-27-14-33","adult",38.38,0.16723230348186,"FEMALE",1,4,"pune",0,0,0,1,0,0,0,0,0
"74",292,"Suheyla-2017-06-27-15-02","adult",51.89,1.09236590630605,"FEMALE",1,4,"pune",0,0,0,1,0,0,0,0,0
"75",293,"Suheyla-2017-06-28-12-54","adult",37.02,0.0741026439821642,"MALE",0,4,"pune",0,0,0,1,0,0,0,1,1
"76",294,"Suheyla-2017-06-28-15-34","adult",36.06,0.00836406080590791,"MALE",0,4,"pune",0,0,0,1,0,0,0,1,1
"77",295,"Iris-2017-06-23-17-46","adult",68.75,2.24689977333905,"MALE",0,4,"pune",0,0,0,1,0,0,0,1,1
"78",296,"Iris-2017-06-23-19-09","adult",48.62,0.868443857361926,"MALE",0,4,"pune",0,0,0,1,0,0,0,1,1
"79",297,"Iris-2017-06-23-20-10","adult",51.66,1.07661603742007,"FEMALE",1,4,"pune",0,0,0,1,0,0,0,1,1
"80",307,"Iris-2017-06-28-15-38","adult",36.01,0.00494017626547761,"MALE",0,4,"pune",0,0,0,1,0,0,0,1,1
"81",357,"Iris-2017-07-04-20-48","adult",54.04,1.23959294154454,"FEMALE",1,4,"pune",0,0,0,1,0,0,0,1,1
"82",363,"Suheyla-2017-07-04-20-50","adult",59.93,1.64292654040719,"MALE",0,4,"pune",0,0,0,1,0,0,0,1,1
"83",364,"Suheyla-2017-07-04-21-50","adult",23.58,-0.846237520485423,"MALE",0,4,"pune",0,0,0,1,0,0,0,0,0
"84",372,"Iris-2017-06-23-18-40","adult",66.36,2.08323809230649,"FEMALE",1,4,"pune",0,0,0,1,0,0,0,1,0
"85",373,"Iris-2017-06-23-19-49","adult",73.85,2.59613599646291,"MALE",0,4,"pune",0,0,0,1,0,0,0,0,0
"86",374,"Iris-2017-06-23-21-08","adult",56.11,1.38134176151834,"MALE",0,4,"pune",0,0,0,1,0,0,0,0,1
"87",375,"Iris-2017-06-26-18-58","adult",21.04,-1.02017085513927,"MALE",0,4,"pune",0,0,0,1,0,0,0,0,0
"88",376,"Iris-2017-06-26-20-40","adult",21.18,-1.01058397842606,"FEMALE",1,4,"pune",0,0,0,1,0,0,0,0,0
"89",377,"Iris-2017-06-27-08-18","adult",30.63,-0.363469800284791,"MALE",0,4,"pune",0,0,0,1,0,0,0,1,0
"90",378,"Iris-2017-06-27-14-35","adult",32.02,-0.268285810060837,"FEMALE",1,4,"pune",0,0,0,1,0,0,0,0,1
"91",381,"Iris-2017-06-23-20-36","adult",65.77,2.04283625472942,"MALE",0,4,"pune",0,0,0,1,0,0,0,0,0
"92",426,"Emma-2017-07-15-08-05","adult",27.38,-0.586022295412742,"FEMALE",1,7,"tanna",0,0,0,0,0,0,1,1,1
"93",427,"Emma-2017-07-15-08-41","adult",29.93,-0.411404183850812,"MALE",0,7,"tanna",0,0,0,0,0,0,1,0,1
"94",428,"Emma-2017-07-15-10-18","adult",34.92,-0.0697005067158964,"FEMALE",1,7,"tanna",0,0,0,0,0,0,1,0,1
"95",429,"Emma-2017-07-15-11-00","adult",28.02,-0.542196573295238,"MALE",0,7,"tanna",0,0,0,0,0,0,1,1,0
"96",430,"Emma-2017-07-15-11-36","adult",33.22,-0.186112581090517,"MALE",0,7,"tanna",0,0,0,0,0,0,1,1,1
"97",431,"Emma-2017-07-15-12-13","adult",26.38,-0.654499986221342,"MALE",0,7,"tanna",0,0,0,0,0,0,1,0,0
"98",432,"Emma-2017-07-15-13-37","adult",37.94,0.137102119526076,"MALE",0,7,"tanna",0,0,0,0,0,0,1,0,1
"99",435,"Emma-2017-07-15-16-01","adult",37.34,0.0960155050409162,"FEMALE",1,7,"tanna",0,0,0,0,0,0,1,1,1
"100",436,"Emma-2017-07-16-07-50","adult",40.56,0.316513669444609,"MALE",0,7,"tanna",0,0,0,0,0,0,1,1,0
"101",437,"Emma-2017-07-16-10-07","adult",41.95,0.411697659668563,"FEMALE",1,7,"tanna",0,0,0,0,0,0,1,1,1
"102",438,"Emma-2017-07-16-10-52","adult",35.95,0.00083151481696193,"MALE",0,7,"tanna",0,0,0,0,0,0,1,1,1
"103",439,"Emma-2017-07-16-11-55","adult",52.2,1.11359399045672,"MALE",0,7,"tanna",0,0,0,0,0,0,1,0,1
"104",442,"Emma-2017-07-17-09-23","adult",41.57,0.385676137161295,"FEMALE",1,7,"tanna",0,0,0,0,0,0,1,0,0
"105",443,"Emma-2017-07-17-09-52","adult",32.02,-0.268285810060837,"FEMALE",1,7,"tanna",0,0,0,0,0,0,1,0,1
"106",444,"Emma-2017-07-17-10-57","adult",21.56,-0.984562455918795,"FEMALE",1,7,"tanna",0,0,0,0,0,0,1,0,1
"107",448,"Emma-2017-07-17-13-21","adult",27.56,-0.573696311067194,"MALE",0,7,"tanna",0,0,0,0,0,0,1,0,0
"108",458,"Emma-2017-07-18-11-52","adult",27.52,-0.576435418699538,"FEMALE",1,7,"tanna",0,0,0,0,0,0,1,0,1
"109",461,"Emma-2017-07-19-09-02","adult",30.25,-0.389491322792059,"FEMALE",1,7,"tanna",0,0,0,0,0,0,1,0,1
"110",462,"Emma-2017-07-19-09-51","adult",48.58,0.865704749729582,"MALE",0,7,"tanna",0,0,0,0,0,0,1,1,1
"111",463,"Emma-2017-07-19-12-43","adult",57.56,1.48063441319081,"MALE",0,7,"tanna",0,0,0,0,0,0,1,0,1
"112",464,"Emma-2017-07-19-13-14","adult",32.94,-0.205286334516925,"FEMALE",1,7,"tanna",0,0,0,0,0,0,1,1,1
"113",465,"Emma-2017-07-19-13-59","adult",21.32,-1.00099710171286,"FEMALE",1,7,"tanna",0,0,0,0,0,0,1,0,0
"114",466,"Emma-2017-07-20-07-51","adult",45.58,0.660271677303782,"MALE",0,7,"tanna",0,0,0,0,0,0,1,0,0
"115",467,"Emma-2017-07-20-08-16","adult",43.07,0.488392673374195,"FEMALE",1,7,"tanna",0,0,0,0,0,0,1,0,1
"116",468,"Emma-2017-07-20-08-46","adult",52.08,1.10537666755968,"MALE",0,7,"tanna",0,0,0,0,0,0,1,1,0
"117",469,"Emma-2017-07-20-09-10","adult",28.57,-0.504533843350508,"FEMALE",1,7,"tanna",0,0,0,0,0,0,1,0,0
"118",470,"Emma-2017-07-20-09-54","adult",29.57,-0.436056152541908,"FEMALE",1,7,"tanna",0,0,0,0,0,0,1,0,1
"119",471,"Emma-2017-07-20-10-21","adult",26.57,-0.641489224967708,"MALE",0,7,"tanna",0,0,0,0,0,0,1,0,0
"120",472,"Emma-2017-07-20-10-41","adult",47.58,0.797227058920982,"FEMALE",1,7,"tanna",0,0,0,0,0,0,1,0,0
"121",474,"Emma-2017-07-20-12-32","adult",35.13,-0.0553201916460903,"MALE",0,7,"tanna",0,0,0,0,0,0,1,0,1
"122",475,"Emma-2017-07-20-12-56","adult",48.24,0.842422334854658,"MALE",0,7,"tanna",0,0,0,0,0,0,1,1,1
"123",476,"Emma-2017-07-20-13-18","adult",19.98,-1.09275720739638,"FEMALE",1,7,"tanna",0,0,0,0,0,0,1,0,0
