"","X","SUBJECT_ID","ADULT_CHILD","AGE_in_years","age_c","GENDER","GENDER_1female","fieldid","FIELDSITE","berlin","laplata","phoenix","pune","shuar","wiichi","tanna","hadza","T1_ad_choice_1yes"
"90",377,"Iris-2017-06-27-08-18","adult",30.63,-0.348195896449464,"MALE",0,4,"pune",0,0,0,1,0,0,0,0,1
"91",378,"Iris-2017-06-27-14-35","adult",32.02,-0.25244357825025,"FEMALE",1,4,"pune",0,0,0,1,0,0,0,0,0
"92",381,"Iris-2017-06-23-20-36","adult",65.77,2.07247781687454,"MALE",0,4,"pune",0,0,0,1,0,0,0,0,0
"93",426,"Emma-2017-07-15-08-05","adult",27.38,-0.572077215979999,"FEMALE",1,7,"tanna",0,0,0,0,0,0,1,0,1
"94",427,"Emma-2017-07-15-08-41","adult",29.93,-0.396416488348348,"MALE",0,7,"tanna",0,0,0,0,0,0,1,0,0
"95",428,"Emma-2017-07-15-10-18","adult",34.92,-0.0526725546691569,"FEMALE",1,7,"tanna",0,0,0,0,0,0,1,0,0
"96",429,"Emma-2017-07-15-11-00","adult",28.02,-0.527989817672448,"MALE",0,7,"tanna",0,0,0,0,0,0,1,0,1
"97",430,"Emma-2017-07-15-11-36","adult",33.22,-0.169779706423591,"MALE",0,7,"tanna",0,0,0,0,0,0,1,0,1
"98",431,"Emma-2017-07-15-12-13","adult",26.38,-0.640963775835549,"MALE",0,7,"tanna",0,0,0,0,0,0,1,0,0
"99",432,"Emma-2017-07-15-13-37","adult",37.94,0.155364856094602,"MALE",0,7,"tanna",0,0,0,0,0,0,1,0,0
"100",435,"Emma-2017-07-15-16-01","adult",37.34,0.114032920181273,"FEMALE",1,7,"tanna",0,0,0,0,0,0,1,0,1
"101",436,"Emma-2017-07-16-07-50","adult",40.56,0.335847642916142,"MALE",0,7,"tanna",0,0,0,0,0,0,1,0,1
"102",437,"Emma-2017-07-16-10-07","adult",41.95,0.431599961115355,"FEMALE",1,7,"tanna",0,0,0,0,0,0,1,0,1
"103",438,"Emma-2017-07-16-10-52","adult",35.95,0.018280601982059,"MALE",0,7,"tanna",0,0,0,0,0,0,1,0,1
"104",439,"Emma-2017-07-16-11-55","adult",52.2,1.13768719963474,"MALE",0,7,"tanna",0,0,0,0,0,0,1,0,0
