"","X","SUBJECT_ID","AGE_in_years","age_c","age_2c","age_3c","GENDER_1female","fieldid","FIELDSITE","berlin","laplata","phoenix","pune","shuar","wiichi","tanna","hadza","T1_choice_1yes"
"84",397,"Jahnavi-2017-06-30-10-41",4.92,-1.6160007637443,2.61145846842216,-4.22011887945672,0,4,"pune",0,0,0,1,0,0,0,0,1
"85",401,"Emma-2017-07-09-10-04",11.53,0.854448359761113,0.730081999498456,0.623817366962569,0,7,"tanna",0,0,0,0,0,0,1,0,0
"86",402,"Emma-2017-07-09-10-59",8.52,-0.270521664709582,0.0731819710772433,-0.0197973086425443,1,7,"tanna",0,0,0,0,0,0,1,0,0
"87",403,"Emma-2017-07-09-12-59",6.85,-0.89467446898402,0.800442405451838,-0.716135384049915,1,7,"tanna",0,0,0,0,0,0,1,0,0
"88",404,"Emma-2017-07-09-14-41",8.52,-0.270521664709582,0.0731819710772433,-0.0197973086425443,1,7,"tanna",0,0,0,0,0,0,1,0,0
"89",405,"Emma-2017-07-10-09-29",12.53,1.22819255393742,1.50845694954733,1.85267559336919,0,7,"tanna",0,0,0,0,0,0,1,0,0
"90",406,"Emma-2017-07-10-10-12",12.53,1.22819255393742,1.50845694954733,1.85267559336919,0,7,"tanna",0,0,0,0,0,0,1,0,1
"91",407,"Emma-2017-07-10-10-48",11.61,0.884347895295218,0.782071199913081,0.691623019614139,0,7,"tanna",0,0,0,0,0,0,1,0,1
"92",408,"Emma-2017-07-10-11-21",12.04,1.04505789879103,1.09214601182552,1.14135581629139,0,7,"tanna",0,0,0,0,0,0,1,0,1
"93",409,"Emma-2017-07-10-13-06",12.53,1.22819255393742,1.50845694954733,1.85267559336919,1,7,"tanna",0,0,0,0,0,0,1,0,0
"94",410,"Emma-2017-07-10-13-37",13.53,1.60193674811373,2.5662013449572,4.11089223754583,1,7,"tanna",0,0,0,0,0,0,1,0,0
"95",411,"Emma-2017-07-10-14-24",11.53,0.854448359761113,0.730081999498456,0.623817366962569,0,7,"tanna",0,0,0,0,0,0,1,0,0
"96",412,"Emma-2017-07-10-15-15",11.3,0.768487195100562,0.590572569033529,0.453847457079909,1,7,"tanna",0,0,0,0,0,0,1,0,0
"97",413,"Emma-2017-07-11-08-24",11.53,0.854448359761113,0.730081999498456,0.623817366962569,1,7,"tanna",0,0,0,0,0,0,1,0,1
"98",414,"Emma-2017-07-11-08-53",11.53,0.854448359761113,0.730081999498456,0.623817366962569,0,7,"tanna",0,0,0,0,0,0,1,0,0
"99",415,"Emma-2017-07-11-09-46",10.53,0.480704165584802,0.231076494810581,0.111079433624181,1,7,"tanna",0,0,0,0,0,0,1,0,0
"100",416,"Emma-2017-07-11-10-20",9.81,0.211608345777859,0.044778092002842,0.00947541797581019,0,7,"tanna",0,0,0,0,0,0,1,0,0
"101",417,"Emma-2017-07-11-10-54",10.53,0.480704165584802,0.231076494810581,0.111079433624181,0,7,"tanna",0,0,0,0,0,0,1,0,0
"102",418,"Emma-2017-07-11-11-38",10.53,0.480704165584802,0.231076494810581,0.111079433624181,0,7,"tanna",0,0,0,0,0,0,1,0,0
"103",419,"Emma-2017-07-11-13-20",9.28,0.0135239228644143,0.000182896489642627,2.47347801809903e-06,1,7,"tanna",0,0,0,0,0,0,1,0,0
"104",420,"Emma-2017-07-11-13-46",9.53,0.106959971408492,0.0114404354837054,0.00122366865223783,0,7,"tanna",0,0,0,0,0,0,1,0,0
"105",421,"Emma-2017-07-11-14-19",9.53,0.106959971408492,0.0114404354837054,0.00122366865223783,1,7,"tanna",0,0,0,0,0,0,1,0,0
"106",422,"Emma-2017-07-14-08-12",5.86,-1.26468122121857,1.59941859130289,-2.02275465728861,0,7,"tanna",0,0,0,0,0,0,1,0,1
"107",423,"Emma-2017-07-14-08-43",7.54,-0.636790975002366,0.405502745844463,-0.258220488892432,1,7,"tanna",0,0,0,0,0,0,1,0,1
"108",424,"Emma-2017-07-14-09-16",6.54,-1.01053516917868,1.02118132814698,-1.03193964620111,1,7,"tanna",0,0,0,0,0,0,1,0,0
"109",425,"Emma-2017-07-14-10-40",7,-0.838612839857573,0.703271495173984,-0.589772505758736,1,7,"tanna",0,0,0,0,0,0,1,0,0
"110",433,"Emma-2017-07-15-14-17",11.8,0.955359292188717,0.912711377171326,0.871967295266987,0,7,"tanna",0,0,0,0,0,0,1,0,0
"111",434,"Emma-2017-07-15-14-48",5.76,-1.3020556406362,1.69534889131254,-2.20743858677982,1,7,"tanna",0,0,0,0,0,0,1,0,1
"112",440,"Emma-2017-07-17-08-13",7,-0.838612839857573,0.703271495173984,-0.589772505758736,1,7,"tanna",0,0,0,0,0,0,1,0,0
"113",441,"Emma-2017-07-17-08-49",9.55,0.114434855292019,0.0130953361057052,0.00149856289225672,0,7,"tanna",0,0,0,0,0,0,1,0,0
"114",449,"Emma-2017-07-17-14-19",6.55,-1.00679772723691,1.01364166356941,-1.02053212311433,1,7,"tanna",0,0,0,0,0,0,1,0,1
"115",450,"Emma-2017-07-17-14-53",5.74,-1.30953052451972,1.7148701946489,-2.24567486548182,1,7,"tanna",0,0,0,0,0,0,1,0,0
"116",453,"Emma-2017-07-18-08-11",6.55,-1.00679772723691,1.01364166356941,-1.02053212311433,1,7,"tanna",0,0,0,0,0,0,1,0,0
"117",454,"Emma-2017-07-18-08-40",7.55,-0.633053533060603,0.400756775720511,-0.253700492767845,1,7,"tanna",0,0,0,0,0,0,1,0,0
"118",455,"Emma-2017-07-18-09-21",13.05,1.42253953490911,2.02361872837941,2.8786776447022,1,7,"tanna",0,0,0,0,0,0,1,0,0
"119",456,"Emma-2017-07-18-10-01",9.55,0.114434855292019,0.0130953361057052,0.00149856289225672,0,7,"tanna",0,0,0,0,0,0,1,0,1
"120",457,"Emma-2017-07-18-10-51",9.55,0.114434855292019,0.0130953361057052,0.00149856289225672,0,7,"tanna",0,0,0,0,0,0,1,0,0
"121",459,"Emma-2017-07-18-16-11",12.55,1.23566743782095,1.52687401689099,1.88670850432707,1,7,"tanna",0,0,0,0,0,0,1,0,0
"122",460,"Emma-2017-07-18-16-35",11.55,0.861923243644639,0.742911677934896,0.640332843187127,1,7,"tanna",0,0,0,0,0,0,1,0,0
"123",480,"Emma-2017-07-12-09-10",9.53,0.106959971408492,0.0114404354837054,0.00122366865223783,0,7,"tanna",0,0,0,0,0,0,1,0,1
"124",481,"Emma-2017-07-12-09-48",9.53,0.106959971408492,0.0114404354837054,0.00122366865223783,1,7,"tanna",0,0,0,0,0,0,1,0,1
"125",482,"Emma-2017-07-12-10-29",8.53,-0.266784222767819,0.071173821517829,-0.0189880526550495,1,7,"tanna",0,0,0,0,0,0,1,0,1
"126",483,"Emma-2017-07-12-11-00",8.53,-0.266784222767819,0.071173821517829,-0.0189880526550495,0,7,"tanna",0,0,0,0,0,0,1,0,1
