"","X","SUBJECT_ID","AGE_in_years","CONDITION_1_1yes","CONDITION_2_1yes","CONDITION_3_1yes","age_c","age_2c","age_3c","GENDER_1female","fieldid","FIELDSITE","berlin","laplata","phoenix","pune","shuar","wiichi","tanna","hadza","T1_choice_1yes"
"135",766,"Noe-2017-08-21-11-15",12.79,0,0,1,1.58394356086537,2.50887720400688,3.97391989228862,1,2,"laplata",0,1,0,0,0,0,0,0,0
"136",769,"Noe-2017-08-22-13-50",12.04,0,0,1,1.28861142546507,1.66051940583913,2.13976427857077,0,2,"laplata",0,1,0,0,0,0,0,0,1
"137",770,"Noe-2017-08-22-14-13",10.28,0,0,1,0.5955653477257,0.354698083411633,0.211245887384689,0,2,"laplata",0,1,0,0,0,0,0,0,1
"138",772,"Noe-2017-08-22-14-44",10.67,0,0,1,0.749138058133856,0.561207830144565,0.420422144084014,1,2,"laplata",0,1,0,0,0,0,0,0,0
"139",774,"Noe-2017-08-23-13-46",12.37,0,0,1,1.41855756504121,2.01230556533563,2.85457128288138,0,2,"laplata",0,1,0,0,0,0,0,0,0
"140",776,"Noe-2017-08-23-14-47",13.86,0,0,1,2.00528407403647,4.0211642175843,8.06357656460712,0,2,"laplata",0,1,0,0,0,0,0,0,1
"141",782,"Noe-2017-08-28-11-42",7.23,0,0,1,-0.605452002902191,0.366572127818275,-0.221941828995692,1,2,"laplata",0,1,0,0,0,0,0,0,0
"142",783,"Noe-2017-08-29-11-36",7.96,0,0,1,-0.317995391112565,0.101121068768833,-0.0321560338128656,1,2,"laplata",0,1,0,0,0,0,0,0,0
"143",788,"Noe-2017-08-29-15-11",6.56,0,0,1,-0.869282043859794,0.75565127177706,-0.656874081975615,0,2,"laplata",0,1,0,0,0,0,0,0,0
"144",794,"Noe-2017-08-30-14-14",13.07,0,0,1,1.69420089141482,2.87031666047077,4.86289304481239,0,2,"laplata",0,1,0,0,0,0,0,0,0
"145",804,"Noe-2017-09-04-14-25",10.28,0,0,1,0.5955653477257,0.354698083411633,0.211245887384689,1,2,"laplata",0,1,0,0,0,0,0,0,0
"146",805,"Noe-2017-09-04-14-39",10.58,0,0,1,0.71369820188582,0.509365123375053,0.363532972656124,0,2,"laplata",0,1,0,0,0,0,0,0,0
"147",808,"Noe-2017-09-04-15-32",11.79,0,0,1,1.19016738033164,1.41649839320548,1.68587018188534,0,2,"laplata",0,1,0,0,0,0,0,0,0
"148",809,"Noe-2017-09-05-13-35",10.72,0,0,1,0.768826867160543,0.591094751667896,0.454449526119868,0,2,"laplata",0,1,0,0,0,0,0,0,0
"149",811,"Noe-2017-09-05-14-29",8,0,0,1,-0.302244343891215,0.0913516434142312,-0.0276105175271186,0,2,"laplata",0,1,0,0,0,0,0,0,0
"150",813,"Noe-2017-09-06-09-04",8.58,0,0,1,-0.0738541591816492,0.00545443682842838,-0.000402832845772999,1,2,"laplata",0,1,0,0,0,0,0,0,0
"151",814,"Noe-2017-09-06-09-30",10.7,0,0,1,0.760951343549868,0.579046947250349,0.440626552488603,1,2,"laplata",0,1,0,0,0,0,0,0,0
"152",816,"Noe-2017-09-06-09-51",8.16,0,0,1,-0.239240155005818,0.0572358517672077,-0.0136931140486768,1,2,"laplata",0,1,0,0,0,0,0,0,0
"153",818,"Noe-2017-09-06-10-53",12.02,0,0,1,1.2807359018544,1.6402844502988,2.10077118475118,1,2,"laplata",0,1,0,0,0,0,0,0,1
"154",830,"Noe-2017-09-11-16-36",11.63,0,0,1,1.12716319144624,1.27049686015128,1.43205729561054,0,2,"laplata",0,1,0,0,0,0,0,0,1
"155",839,"Noe-2017-09-20-10-30",5.98,0,0,1,-1.09767222856936,1.20488432137242,-1.32256805820915,1,2,"laplata",0,1,0,0,0,0,0,0,0
"156",844,"Noe-2017-09-20-11-26",5.2,0,0,1,-1.40481764938567,1.97351262802549,-2.7724253711357,0,2,"laplata",0,1,0,0,0,0,0,0,0
"157",845,"Noe-2017-09-20-12-59",5.06,0,0,1,-1.4599463146604,2.13144324169047,-3.11179270561381,0,2,"laplata",0,1,0,0,0,0,0,0,0
"158",847,"Noe-2017-09-20-13-21",5.94,0,0,1,-1.11342327579071,1.23971139107251,-1.38032351808301,0,2,"laplata",0,1,0,0,0,0,0,0,0
"159",855,"Iris-2017-03-20-11-42",4.88,0,0,1,-1.53082602715647,2.34342832541965,-3.5873810733281,1,1,"berlin",1,0,0,0,0,0,0,0,0
"160",856,"Iris-2017-03-21-10-19",4.21,0,0,1,-1.79465606811407,3.22079040281865,-5.78021104054206,1,1,"berlin",1,0,0,0,0,0,0,0,0
"161",860,"Silvan-2017-03-22-10-16",5.68,0,0,1,-1.21580508272948,1.47818199919084,-1.79718118781544,1,1,"berlin",1,0,0,0,0,0,0,0,0
"162",861,"Silvan-2017-03-23-14-23",5.17,0,0,1,-1.41663093480168,2.00684320543709,-2.84295616611876,0,1,"berlin",1,0,0,0,0,0,0,0,0
"163",865,"Suheyla-2017-03-21-15-09",5.01,0,0,1,-1.47963512368708,2.18932009924849,-3.23939491584215,1,1,"berlin",1,0,0,0,0,0,0,0,1
"164",868,"Suheyla-2017-03-22-13-48",5.38,0,0,1,-1.3339379368896,1.77939041947328,-2.37359638507331,0,1,"berlin",1,0,0,0,0,0,0,0,0
"165",869,"Iris-2017-03-22-13-28",6.15,0,0,1,-1.03073027787862,1.06240490573575,-1.09505290370862,1,1,"berlin",1,0,0,0,0,0,0,0,0
"166",871,"Iris-2017-03-22-16-16",4.57,0,0,1,-1.65289664312193,2.73206731284373,-4.51582489018254,0,1,"berlin",1,0,0,0,0,0,0,0,0
"167",877,"Suheyla-2017-03-24-10-11",4.61,0,0,1,-1.63714559590058,2.68024570217665,-4.38795244724995,0,1,"berlin",1,0,0,0,0,0,0,0,0
"168",881,"Suheyla-2017-04-05-14-19",6.71,0,0,1,-0.810215616779733,0.656449345673763,-0.531865511489721,0,1,"berlin",1,0,0,0,0,0,0,0,0
"169",882,"Suheyla-2017-04-05-14-47",6.82,0,0,1,-0.766900236921022,0.58813597338952,-0.451041617334199,1,1,"berlin",1,0,0,0,0,0,0,0,0
"170",888,"Suheyla-2017-04-10-12-26",9.71,0,0,1,0.371112924821471,0.137724802969547,0.0511114544504895,1,1,"berlin",1,0,0,0,0,0,0,0,0
"171",894,"Iris-2017-04-03-14-43",8.97,0,0,1,0.0797185512265076,0.00635504740965331,0.000506615172473332,1,1,"berlin",1,0,0,0,0,0,0,0,0
"172",897,"Iris-2017-04-05-15-36",7.01,0,0,1,-0.692082762619613,0.478978550315195,-0.331492798337678,0,1,"berlin",1,0,0,0,0,0,0,0,0
"173",898,"Iris-2017-04-05-15-09",6.82,0,0,1,-0.766900236921022,0.58813597338952,-0.451041617334199,1,1,"berlin",1,0,0,0,0,0,0,0,1
"174",906,"Suheyla-2017-05-22-14-44",6.99,0,0,1,-0.699958286230287,0.489941602462441,-0.342938684412531,0,1,"berlin",1,0,0,0,0,0,0,0,1
"175",910,"Suheyla-2017-05-16-15-04",10.16,0,0,1,0.548312206061652,0.300646275316195,0.164848022462842,1,1,"berlin",1,0,0,0,0,0,0,0,0
"176",913,"Suheyla-2017-05-16-13-05",7.67,0,0,1,-0.432190483467348,0.18678861399974,-0.0807282613907434,0,1,"berlin",1,0,0,0,0,0,0,0,1
"177",915,"Iris-2017-05-08-14-20",9.28,0,0,1,0.201789167191965,0.0407188679960267,0.00821662646191778,1,1,"berlin",1,0,0,0,0,0,0,0,0
"178",920,"Iris-2017-05-10-15-09",6.75,0,0,1,-0.794464569558384,0.631173952283588,-0.501445342317445,1,1,"berlin",1,0,0,0,0,0,0,0,0
"179",921,"Iris-2017-05-10-15-45",6.8,0,0,1,-0.774775760531697,0.60027747910747,-0.46508044040554,0,1,"berlin",1,0,0,0,0,0,0,0,0
"180",924,"Iris-2017-05-11-13-04",9.31,0,0,1,0.213602452607977,0.0456260077601432,0.00974582716027719,0,1,"berlin",1,0,0,0,0,0,0,0,1
