"","X","SUBJECT_ID","ADULT_CHILD","AGE_in_years","GENDER","GENDER_1female","fieldid","FIELDSITE","T1_ad_choice_1yes","T5_ad_choice_1yes"
"167",988,"Iris-2017-10-18-14-05","adult",27.78,"FEMALE",1,1,"berlin",1,1
"168",989,"Iris-2017-10-18-18-09","adult",51.76,"FEMALE",1,1,"berlin",1,1
"169",990,"Suheyla-2017-10-19-09-45","adult",27.33,"MALE",0,1,"berlin",1,1
"170",991,"Suheyla-2017-10-18-14-25","adult",22.75,"MALE",0,1,"berlin",1,1
"171",992,"Suheyla-2017-10-19-11-01","adult",27.61,"MALE",0,1,"berlin",1,1
"172",993,"Suheyla-2017-10-17-11-00","adult",52.38,"MALE",0,1,"berlin",0,1
"173",994,"Suheyla-2017-10-17-10-34","adult",26.83,"FEMALE",1,1,"berlin",0,1
"174",995,"Suheyla-2017-09-19-13-59","adult",66.36,"MALE",0,1,"berlin",0,1
"175",996,"Iris-2017-10-19-15-44","adult",29.82,"MALE",0,1,"berlin",1,1
"176",997,"Iris-2017-10-19-16-02","adult",19.52,"MALE",0,1,"berlin",0,0
"177",998,"Iris-2017-10-19-19-42","adult",24.32,"FEMALE",1,1,"berlin",1,1
